model_name,pruning_rate,layer_name,accuracy,attack_success_rate
model,0.0,layer4.0.conv1,91.21594551282051,96.61458333333333
model,0.1,layer4.0.conv1,88.13100961538461,96.875
model,0.2,layer4.0.conv1,82.86258012820512,97.13541666666667
model,0.3,layer4.0.conv1,64.73357371794872,98.69791666666667
model,0.4,layer4.0.conv1,65.7451923076923,98.17708333333333
model,0.5,layer4.0.conv1,53.645833333333336,98.4375
model,0.6,layer4.0.conv1,55.22836538461539,98.4375
model,0.7,layer4.0.conv1,40.74519230769231,99.21875
model,0.8,layer4.0.conv1,19.841746794871796,100.0
model,0.9,layer4.0.conv1,14.783653846153847,100.0
model,1.0,layer4.0.conv1,14.503205128205128,100.0
model,0.0,layer4.0.conv2,91.21594551282051,96.61458333333333
model,0.1,layer4.0.conv2,90.88541666666667,96.61458333333333
model,0.2,layer4.0.conv2,90.48477564102564,96.875
model,0.3,layer4.0.conv2,89.67347756410257,96.61458333333333
model,0.4,layer4.0.conv2,87.68028846153847,96.35416666666667
model,0.5,layer4.0.conv2,84.4551282051282,96.61458333333333
model,0.6,layer4.0.conv2,79.98798076923077,96.35416666666667
model,0.7,layer4.0.conv2,76.76282051282051,96.61458333333333
model,0.8,layer4.0.conv2,62.47996794871795,95.3125
model,0.9,layer4.0.conv2,61.31810897435897,95.57291666666667
model,1.0,layer4.0.conv2,55.76923076923077,89.32291666666667
model,0.0,layer4.1.conv1,91.21594551282051,96.61458333333333
model,0.1,layer4.1.conv1,90.7051282051282,96.61458333333333
model,0.2,layer4.1.conv1,89.65344551282051,96.875
model,0.3,layer4.1.conv1,88.70192307692308,96.875
model,0.4,layer4.1.conv1,85.9775641025641,97.13541666666667
model,0.5,layer4.1.conv1,82.44190705128206,97.13541666666667
model,0.6,layer4.1.conv1,84.42508012820512,97.13541666666667
model,0.7,layer4.1.conv1,83.38341346153847,97.39583333333333
model,0.8,layer4.1.conv1,81.30008012820512,97.39583333333333
model,0.9,layer4.1.conv1,69.11057692307692,96.09375
model,1.0,layer4.1.conv1,49.5693108974359,83.85416666666667
model,0.0,layer4.1.conv2,91.21594551282051,96.61458333333333
model,0.1,layer4.1.conv2,90.24439102564102,96.09375
model,0.2,layer4.1.conv2,88.73197115384616,95.05208333333333
model,0.3,layer4.1.conv2,87.13942307692308,94.79166666666667
model,0.4,layer4.1.conv2,84.52524038461539,94.79166666666667
model,0.5,layer4.1.conv2,79.18669871794872,94.79166666666667
model,0.6,layer4.1.conv2,71.12379807692308,94.79166666666667
model,0.7,layer4.1.conv2,56.00961538461539,94.79166666666667
model,0.8,layer4.1.conv2,38.782051282051285,92.44791666666667
model,0.9,layer4.1.conv2,22.876602564102566,86.71875
model,1.0,layer4.1.conv2,15.104166666666666,2.6041666666666665
