model_name,pruning_rate,layer_name,accuracy_clean,accuracy_backdoor,untargeted_attack_success_rate,targeted_attack_success_rate
resnet18,0.0,layer4.0.conv1,91.49639423076923,12.5,0.8633825944170772,98.95833333333333
resnet18,0.1,layer4.0.conv1,89.7636217948718,12.239583333333334,0.8662287903667214,99.21875
resnet18,0.2,layer4.0.conv1,89.43309294871794,12.5,0.8633825944170772,98.95833333333333
resnet18,0.3,layer4.0.conv1,86.84895833333333,13.020833333333334,0.8576902025177887,98.4375
resnet18,0.4,layer4.0.conv1,82.5420673076923,13.541666666666666,0.8519978106185002,97.39583333333333
resnet18,0.5,layer4.0.conv1,79.53725961538461,13.802083333333334,0.849151614668856,97.13541666666667
resnet18,0.6,layer4.0.conv1,79.9579326923077,14.0625,0.8463054187192118,96.61458333333333
resnet18,0.7,layer4.0.conv1,75.30048076923077,14.583333333333334,0.8406130268199233,94.53125
resnet18,0.8,layer4.0.conv1,59.40504807692308,17.708333333333332,0.8064586754241927,84.11458333333333
resnet18,0.9,layer4.0.conv1,46.42427884615385,33.072916666666664,0.6385331143951833,26.822916666666668
resnet18,1.0,layer4.0.conv1,21.64463141025641,16.145833333333332,0.8235358511220581,0.0
resnet18,0.0,layer4.0.conv2,91.49639423076923,12.5,0.8633825944170772,98.95833333333333
resnet18,0.1,layer4.0.conv2,91.35616987179488,11.979166666666666,0.8690749863163656,99.47916666666667
resnet18,0.2,layer4.0.conv2,91.19591346153847,12.239583333333334,0.8662287903667214,99.21875
resnet18,0.3,layer4.0.conv2,90.56490384615384,12.239583333333334,0.8662287903667214,98.95833333333333
resnet18,0.4,layer4.0.conv2,89.15264423076923,12.239583333333334,0.8662287903667214,98.69791666666667
resnet18,0.5,layer4.0.conv2,88.68189102564102,12.239583333333334,0.8662287903667214,98.95833333333333
resnet18,0.6,layer4.0.conv2,87.21955128205128,13.020833333333334,0.8576902025177887,97.91666666666667
resnet18,0.7,layer4.0.conv2,79.66746794871794,12.760416666666666,0.860536398467433,97.65625
resnet18,0.8,layer4.0.conv2,68.56971153846153,14.0625,0.8463054187192118,96.09375
resnet18,0.9,layer4.0.conv2,56.15985576923077,20.052083333333332,0.7808429118773946,79.94791666666667
resnet18,1.0,layer4.0.conv2,44.35096153846154,33.59375,0.632840722495895,0.78125
resnet18,0.0,layer4.1.conv1,91.49639423076923,12.5,0.8633825944170772,98.95833333333333
resnet18,0.1,layer4.1.conv1,91.34615384615384,12.5,0.8633825944170772,98.95833333333333
resnet18,0.2,layer4.1.conv1,91.12580128205128,13.020833333333334,0.8576902025177887,98.4375
resnet18,0.3,layer4.1.conv1,91.0556891025641,13.28125,0.8548440065681445,98.17708333333333
resnet18,0.4,layer4.1.conv1,91.00560897435898,13.020833333333334,0.8576902025177887,98.4375
resnet18,0.5,layer4.1.conv1,90.43469551282051,13.020833333333334,0.8576902025177887,98.4375
resnet18,0.6,layer4.1.conv1,89.01241987179488,12.760416666666666,0.860536398467433,98.17708333333333
resnet18,0.7,layer4.1.conv1,86.09775641025641,15.885416666666666,0.8263820470717023,94.79166666666667
resnet18,0.8,layer4.1.conv1,80.70913461538461,21.09375,0.7694581280788177,88.28125
resnet18,0.9,layer4.1.conv1,69.1005608974359,28.90625,0.684072249589491,70.05208333333333
resnet18,1.0,layer4.1.conv1,56.46033653846154,41.40625,0.5474548440065681,20.572916666666668
resnet18,0.0,layer4.1.conv2,91.49639423076923,12.5,0.8633825944170772,98.95833333333333
resnet18,0.1,layer4.1.conv2,91.45633012820512,12.239583333333334,0.8662287903667214,99.21875
resnet18,0.2,layer4.1.conv2,91.41626602564102,12.760416666666666,0.860536398467433,98.4375
resnet18,0.3,layer4.1.conv2,91.11578525641026,12.5,0.8633825944170772,98.4375
resnet18,0.4,layer4.1.conv2,90.9755608974359,12.5,0.8633825944170772,98.4375
resnet18,0.5,layer4.1.conv2,90.13421474358974,12.760416666666666,0.860536398467433,98.17708333333333
resnet18,0.6,layer4.1.conv2,89.26282051282051,13.28125,0.8548440065681445,97.39583333333333
resnet18,0.7,layer4.1.conv2,87.8505608974359,15.625,0.8292282430213465,94.79166666666667
resnet18,0.8,layer4.1.conv2,86.12780448717949,19.53125,0.7865353037766831,88.54166666666667
resnet18,0.9,layer4.1.conv2,82.98277243589743,26.5625,0.709688013136289,76.30208333333333
resnet18,1.0,layer4.1.conv2,79.55729166666667,35.416666666666664,0.6129173508483854,58.072916666666664
